LONG,LAT,MOHO_DEPTH,VP/VS,METHOD,SUB-METHOD,AUTHOR,V_PROFILE(Y/N),LOCATION,SUB_LOCATION
-98.82,35.97,25,1.61,Hk,-,EARS,N,America_North,
-90.02,35.97,27,2.1,Hk,-,EARS,N,America_North,
-121.12,35.98,20,2.1,Hk,-,EARS,N,America_North,
-120.56,35.98,18,1.63,Hk,-,EARS,N,America_North,
-120.54,35.98,23,1.62,Hk,-,EARS,N,America_North,
-120.49,35.98,31,1.79,Hk,-,EARS,N,America_North,
-120.49,35.98,24,2.1,Hk,-,EARS,N,America_North,
-120.46,35.98,31,1.75,Hk,-,EARS,N,America_North,
-78.9,35.98,40,1.65,Hk,-,EARS,N,America_North,
-120.96,35.99,63,1.75,Hk,-,EARS,N,America_North,
-120.53,35.99,35,1.97,Hk,-,EARS,N,America_North,
-120.51,35.99,33,1.65,Hk,-,EARS,N,America_North,
-121.38,36,19,2.01,Hk,-,EARS,N,America_North,
-120.56,36,31,1.71,Hk,-,EARS,N,America_North,
-120.55,36,26,1.91,Hk,-,EARS,N,America_North,
-119.95,36,64,1.75,Hk,-,EARS,N,America_North,
-96.8,36,41,1.85,Hk,-,EARS,N,America_North,
-120.57,36.01,26,1.71,Hk,-,EARS,N,America_North,
-120.57,36.01,63,2.1,Hk,-,EARS,N,America_North,
-120.55,36.01,33,1.74,Hk,-,EARS,N,America_North,
-120.53,36.01,26,1.67,Hk,-,EARS,N,America_North,
-96.79,36.01,41,1.84,Hk,-,EARS,N,America_North,
-96.71,36.01,41,1.92,Hk,-,EARS,N,America_North,
-121.25,36.02,40,1.63,Hk,-,EARS,N,America_North,
-121.24,36.02,27,1.73,Hk,-,EARS,N,America_North,
-121.17,36.02,49,2.09,Hk,-,EARS,N,America_North,
-120.89,36.02,66,1.95,Hk,-,EARS,N,America_North,
-120.6,36.02,40,1.73,Hk,-,EARS,N,America_North,
-98.33,36.02,33,1.98,Hk,-,EARS,N,America_North,
-120.59,36.03,32,1.6,Hk,-,EARS,N,America_North,
-118.98,36.03,40,1.84,Hk,-,EARS,N,America_North,
-108.57,36.04,41,1.9,Hk,-,EARS,N,America_North,
-97.53,36.04,42,1.81,Hk,-,EARS,N,America_North,
-96.94,36.04,41,1.9,Hk,-,EARS,N,America_North,
-120.82,36.05,66,2.1,Hk,-,EARS,N,America_North,
-117.83,36.05,36,1.61,Hk,-,EARS,N,America_North,
-117.79,36.06,68,1.64,Hk,-,EARS,N,America_North,
-117.49,36.06,31,1.77,Hk,-,EARS,N,America_North,
-120.75,36.07,41,1.6,Hk,-,EARS,N,America_North,
-117.82,36.07,41,2.03,Hk,-,EARS,N,America_North,
-117.8,36.07,69,1.67,Hk,-,EARS,N,America_North,
-117.8,36.07,32,1.79,Hk,-,EARS,N,America_North,
-105.23,36.07,44,1.72,Hk,-,EARS,N,America_North,
-99.42,36.07,25,1.76,Hk,-,EARS,N,America_North,
-91.15,36.07,46,1.76,Hk,-,EARS,N,America_North,
-97.8,36.08,38,1.98,Hk,-,EARS,N,America_North,
-86.33,36.09,55,1.66,Hk,-,EARS,N,America_North,
-120.44,36.1,43,1.81,Hk,-,EARS,N,America_North,
-89.49,36.1,43,1.71,Hk,-,EARS,N,America_North,
-115.14,36.11,31,1.79,Hk,-,EARS,N,America_North,
-89.86,36.11,39,1.66,Hk,-,EARS,N,America_North,
-81.81,36.11,28,2.1,Hk,-,EARS,N,America_North,
-120.62,36.12,48,1.6,Hk,-,EARS,N,America_North,
-120.54,36.13,44,1.74,Hk,-,EARS,N,America_North,
-120.37,36.13,25,1.6,Hk,-,EARS,N,America_North,
-97.7,36.13,30,2.1,Hk,-,EARS,N,America_North,
-87.83,36.13,36,2,Hk,-,EARS,N,America_North,
-87.83,36.13,36,1.99,Hk,-,EARS,N,America_North,
-111.13,36.14,38,1.6,Hk,-,EARS,N,America_North,
-108.72,36.15,50,1.77,Hk,-,EARS,N,America_North,
-105.26,36.15,44,1.72,Hk,-,EARS,N,America_North,
-96.94,36.15,41,1.85,Hk,-,EARS,N,America_North,
-96.73,36.16,43,1.87,Hk,-,EARS,N,America_North,
-96.71,36.17,42,1.88,Hk,-,EARS,N,America_North,
-95.03,36.17,43,1.77,Hk,-,EARS,N,America_North,
-120.24,36.18,32,1.81,Hk,-,EARS,N,America_North,
-97.49,36.18,42,1.8,Hk,-,EARS,N,America_North,
-97.27,36.18,42,1.8,Hk,-,EARS,N,America_North,
-116.67,36.19,25,1.92,Hk,-,EARS,N,America_North,
-115.01,36.19,31,1.77,Hk,-,EARS,N,America_North,
-118.58,36.2,38,1.82,Hk,-,EARS,N,America_North,
-97.84,36.22,31,2.09,Hk,-,EARS,N,America_North,
-121.47,36.23,29,1.68,Hk,-,EARS,N,America_North,
-119.99,36.23,36,1.75,Hk,-,EARS,N,America_North,
-118.06,36.23,32,1.85,Hk,-,EARS,N,America_North,
-98.8,36.24,36,2.06,Hk,-,EARS,N,America_North,
-98.8,36.24,54,1.73,Hk,-,EARS,N,America_North,
-115.14,36.25,25,1.77,Hk,-,EARS,N,America_North,
-108.89,36.25,48,1.78,Hk,-,EARS,N,America_North,
-96.7,36.25,41,1.86,Hk,-,EARS,N,America_North,
-117.66,36.26,32,1.76,Hk,-,EARS,N,America_North,
-97.24,36.26,41,1.81,Hk,-,EARS,N,America_North,
-96.49,36.26,41,1.85,Hk,-,EARS,N,America_North,
-89.29,36.27,25,2.1,Hk,-,EARS,N,America_North,
-117.59,36.28,32,1.71,Hk,-,EARS,N,America_North,
-97.04,36.28,41,1.82,Hk,-,EARS,N,America_North,
-93.94,36.28,45,1.76,Hk,-,EARS,N,America_North,
-109.21,36.29,48,1.67,Hk,-,EARS,N,America_North,
-119.49,36.3,54,2.06,Hk,-,EARS,N,America_North,
-119.42,36.3,56,1.6,Hk,-,EARS,N,America_North,
-119.34,36.31,32,2.05,Hk,-,EARS,N,America_North,
-119.24,36.31,27,2.08,Hk,-,EARS,N,America_North,
-97.82,36.31,44,1.81,Hk,-,EARS,N,America_North,
-119.38,36.32,36,2.04,Hk,-,EARS,N,America_North,
-119.27,36.32,44,1.6,Hk,-,EARS,N,America_North,
-119.19,36.33,30,1.6,Hk,-,EARS,N,America_North,
-106.19,36.33,44,1.63,Hk,-,EARS,N,America_North,
-96.82,36.33,41,1.81,Hk,-,EARS,N,America_North,
-76.45,36.33,32,1.97,Hk,-,EARS,N,America_North,
-119.12,36.34,27,1.6,Hk,-,EARS,N,America_North,
-105.28,36.34,44,1.78,Hk,-,EARS,N,America_North,
-98.19,36.34,40,1.8,Hk,-,EARS,N,America_North,
-91.92,36.34,46,1.84,Hk,-,EARS,N,America_North,
-89.35,36.34,38,1.73,Hk,-,EARS,N,America_North,
-88.86,36.34,40,1.6,Hk,-,EARS,N,America_North,
-118.41,36.35,34,1.81,Hk,-,EARS,N,America_North,
-97.37,36.35,42,1.79,Hk,-,EARS,N,America_North,
-97.13,36.35,41,1.8,Hk,-,EARS,N,America_North,
-91.24,36.35,38,1.97,Hk,-,EARS,N,America_North,
-88.76,36.35,39,1.6,Hk,-,EARS,N,America_North,
-80.38,36.35,46,1.76,Hk,-,EARS,N,America_North,
-80.38,36.35,45,1.76,Hk,-,EARS,N,America_North,
-77.79,36.35,36,1.75,Hk,-,EARS,N,America_North,
-77.79,36.35,36,1.76,Hk,-,EARS,N,America_North,
-120.78,36.36,45,1.6,Hk,-,EARS,N,America_North,
-119.06,36.36,41,1.95,Hk,-,EARS,N,America_North,
-119.03,36.36,39,1.85,Hk,-,EARS,N,America_North,
-117.14,36.36,30,1.81,Hk,-,EARS,N,America_North,
-117.08,36.36,27,1.79,Hk,-,EARS,N,America_North,
-92.85,36.36,47,1.73,Hk,-,EARS,N,America_North,
-92.85,36.36,46,1.74,Hk,-,EARS,N,America_North,
-88.18,36.36,50,1.72,Hk,-,EARS,N,America_North,
-82.58,36.36,44,1.81,Hk,-,EARS,N,America_North,
-118.81,36.37,42,1.78,Hk,-,EARS,N,America_North,
-99.85,36.37,27,1.6,Hk,-,EARS,N,America_North,
-96.83,36.37,32,1.6,Hk,-,EARS,N,America_North,
-96.73,36.37,42,1.84,Hk,-,EARS,N,America_North,
-90.41,36.37,40,1.6,Hk,-,EARS,N,America_North,
-119.01,36.38,38,2.03,Hk,-,EARS,N,America_North,
-118.84,36.38,44,1.77,Hk,-,EARS,N,America_North,
-108.52,36.38,44,1.7,Hk,-,EARS,N,America_North,
-106.85,36.38,46,1.8,Hk,-,EARS,N,America_North,
-102.22,36.38,49,1.74,Hk,-,EARS,N,America_North,
-99,36.38,35,2.09,Hk,-,EARS,N,America_North,
-99,36.38,52,1.76,Hk,-,EARS,N,America_North,
-98.73,36.38,42,1.9,Hk,-,EARS,N,America_North,
-98.73,36.38,60,1.65,Hk,-,EARS,N,America_North,
-98.65,36.38,34,1.97,Hk,-,EARS,N,America_North,
-93.48,36.38,44,1.79,Hk,-,EARS,N,America_North,
-84.02,36.38,46,1.78,Hk,-,EARS,N,America_North,
-121.55,36.39,25,1.7,Hk,-,EARS,N,America_North,
-118.96,36.39,40,1.93,Hk,-,EARS,N,America_North,
-118.9,36.39,40,1.87,Hk,-,EARS,N,America_North,
-117.14,36.39,28,1.87,Hk,-,EARS,N,America_North,
-103.74,36.39,44,1.79,Hk,-,EARS,N,America_North,
-96.98,36.39,42,1.81,Hk,-,EARS,N,America_North,
-95.73,36.39,45,1.78,Hk,-,EARS,N,America_North,
-83.37,36.39,46,1.81,Hk,-,EARS,N,America_North,
-78.55,36.39,33,1.78,Hk,-,EARS,N,America_North,
-104.41,36.4,44,1.75,Hk,-,EARS,N,America_North,
-98.83,36.4,44,1.82,Hk,-,EARS,N,America_North,
-96.93,36.4,41,1.82,Hk,-,EARS,N,America_North,
-96.91,36.4,40,1.84,Hk,-,EARS,N,America_North,
-96.91,36.4,42,1.82,Hk,-,EARS,N,America_North,
-105.28,36.41,46,1.74,Hk,-,EARS,N,America_North,
-97.3,36.41,32,1.61,Hk,-,EARS,N,America_North,
-95.12,36.41,47,1.75,Hk,-,EARS,N,America_North,
-89.7,36.41,31,1.74,Hk,-,EARS,N,America_North,
-116.33,36.42,31,1.89,Hk,-,EARS,N,America_North,
-115.38,36.42,36,1.95,Hk,-,EARS,N,America_North,
-113.97,36.42,35,1.76,Hk,-,EARS,N,America_North,
-113.18,36.42,41,1.77,Hk,-,EARS,N,America_North,
-109.87,36.42,51,1.77,Hk,-,EARS,N,America_North,
-108.96,36.42,28,1.64,Hk,-,EARS,N,America_North,
-102.82,36.42,46,1.8,Hk,-,EARS,N,America_North,
-96.97,36.42,40,1.83,Hk,-,EARS,N,America_North,
-96.94,36.42,42,1.82,Hk,-,EARS,N,America_North,
-96.86,36.42,42,1.81,Hk,-,EARS,N,America_North,
-96.82,36.42,25,1.6,Hk,-,EARS,N,America_North,
-96.65,36.42,42,1.83,Hk,-,EARS,N,America_North,
-84.84,36.42,41,2.06,Hk,-,EARS,N,America_North,
-114.54,36.43,26,1.89,Hk,-,EARS,N,America_North,
-112.29,36.43,46,1.76,Hk,-,EARS,N,America_North,
-112.29,36.43,46,1.76,Hk,-,EARS,N,America_North,
-112.29,36.43,46,1.75,Hk,-,EARS,N,America_North,
-107.66,36.43,25,1.6,Hk,-,EARS,N,America_North,
-98.75,36.43,34,1.95,Hk,-,EARS,N,America_North,
-98.11,36.43,28,2.1,Hk,-,EARS,N,America_North,
-79.34,36.43,38,1.69,Hk,-,EARS,N,America_North,
-118.08,36.44,38,1.97,Hk,-,EARS,N,America_North,
-118.08,36.44,39,1.62,Hk,-,EARS,N,America_North,
-105.29,36.44,45,1.79,Hk,-,EARS,N,America_North,
-102.74,36.44,48,1.78,Hk,-,EARS,N,America_North,
-100.3,36.44,45,1.9,Hk,-,EARS,N,America_North,
-97.54,36.44,42,1.84,Hk,-,EARS,N,America_North,
-94.39,36.44,46,1.75,Hk,-,EARS,N,America_North,
-94.39,36.44,45,1.77,Hk,-,EARS,N,America_North,
-87.29,36.44,49,1.8,Hk,-,EARS,N,America_North,
-101.27,36.45,38,1.97,Hk,-,EARS,N,America_North,
-98.8,36.45,38,1.97,Hk,-,EARS,N,America_North,
-98.8,36.45,56,1.65,Hk,-,EARS,N,America_North,
-96.92,36.45,42,1.82,Hk,-,EARS,N,America_North,
-96.82,36.45,42,1.81,Hk,-,EARS,N,America_North,
-89.63,36.45,38,1.6,Hk,-,EARS,N,America_North,
-109.08,36.46,44,1.84,Hk,-,EARS,N,America_North,
-81.15,36.46,45,1.6,Hk,-,EARS,N,America_North,
-81.07,36.46,58,1.63,Hk,-,EARS,N,America_North,
-116.86,36.47,25,1.88,Hk,-,EARS,N,America_North,
-98.61,36.47,37,1.96,Hk,-,EARS,N,America_North,
-98.61,36.47,37,1.96,Hk,-,EARS,N,America_North,
-98.53,36.47,37,1.85,Hk,-,EARS,N,America_North,
-97.01,36.47,41,1.83,Hk,-,EARS,N,America_North,
-96.72,36.47,42,1.8,Hk,-,EARS,N,America_North,
-77.16,36.47,38,1.6,Hk,-,EARS,N,America_North,
-98.74,36.48,50,1.67,Hk,-,EARS,N,America_North,
-98.67,36.48,36,1.93,Hk,-,EARS,N,America_North,
-81.09,36.48,33,2.09,Hk,-,EARS,N,America_North,
-98.94,36.49,46,1.94,Hk,-,EARS,N,America_North,
-98.94,36.49,48,1.88,Hk,-,EARS,N,America_North,
-96.96,36.49,42,1.83,Hk,-,EARS,N,America_North,
-115.16,36.5,36,1.77,Hk,-,EARS,N,America_North,
-97.98,36.5,42,1.83,Hk,-,EARS,N,America_North,
-97.55,36.5,42,1.83,Hk,-,EARS,N,America_North,
-96.84,36.5,42,1.79,Hk,-,EARS,N,America_North,
-96.77,36.5,42,1.78,Hk,-,EARS,N,America_North,
-89.69,36.5,32,1.68,Hk,-,EARS,N,America_North,
-81.08,36.5,33,2.09,Hk,-,EARS,N,America_North,
-81.05,36.5,47,1.8,Hk,-,EARS,N,America_North,
-105.3,36.51,45,1.76,Hk,-,EARS,N,America_North,
-98.74,36.51,34,1.99,Hk,-,EARS,N,America_North,
-98.72,36.51,50,1.74,Hk,-,EARS,N,America_North,
-98.63,36.51,38,1.87,Hk,-,EARS,N,America_North,
-98.5,36.51,38,1.88,Hk,-,EARS,N,America_North,
-98.5,36.51,40,1.85,Hk,-,EARS,N,America_North,
-86.54,36.51,40,2.03,Hk,-,EARS,N,America_North,
-85.78,36.51,43,1.92,Hk,-,EARS,N,America_North,
-85.78,36.51,42,1.97,Hk,-,EARS,N,America_North,
-117.72,36.52,32,1.81,Hk,-,EARS,N,America_North,
-97.74,36.52,43,1.83,Hk,-,EARS,N,America_North,
-81.82,36.52,46,1.79,Hk,-,EARS,N,America_North,
-81.82,36.52,46,1.79,Hk,-,EARS,N,America_North,
-120.1,36.53,69,1.65,Hk,-,EARS,N,America_North,
-119.47,36.53,68,1.7,Hk,-,EARS,N,America_North,
-100.65,36.53,44,1.91,Hk,-,EARS,N,America_North,
-99.17,36.53,65,1.6,Hk,-,EARS,N,America_North,
-99.17,36.53,40,1.96,Hk,-,EARS,N,America_North,
-89.23,36.54,39,1.63,Hk,-,EARS,N,America_North,
-83.55,36.54,43,1.89,Hk,-,EARS,N,America_North,
-109.23,36.55,47,1.71,Hk,-,EARS,N,America_North,
-99.04,36.55,47,1.84,Hk,-,EARS,N,America_North,
-99.04,36.55,48,1.81,Hk,-,EARS,N,America_North,
-89.33,36.55,33,1.71,Hk,-,EARS,N,America_North,
-105.45,36.57,26,1.78,Hk,-,EARS,N,America_North,
-97.41,36.57,42,1.8,Hk,-,EARS,N,America_North,
-97.04,36.57,43,1.81,Hk,-,EARS,N,America_North,
-118.79,36.58,44,1.7,Hk,-,EARS,N,America_North,
-118.41,36.58,31,1.92,Hk,-,EARS,N,America_North,
-118.22,36.59,34,1.78,Hk,-,EARS,N,America_North,
-121.4,36.6,36,1.6,Hk,-,EARS,N,America_North,
-110.66,36.6,38,1.6,Hk,-,EARS,N,America_North,
-98.67,36.6,33,2.05,Hk,-,EARS,N,America_North,
-98.67,36.6,50,1.75,Hk,-,EARS,N,America_North,
-97.68,36.6,44,1.81,Hk,-,EARS,N,America_North,
-97.63,36.6,44,1.75,Hk,-,EARS,N,America_North,
-105.32,36.61,46,1.77,Hk,-,EARS,N,America_North,
-97.7,36.61,43,1.83,Hk,-,EARS,N,America_North,
-97.71,36.62,32,2.1,Hk,-,EARS,N,America_North,
-97.64,36.62,44,1.73,Hk,-,EARS,N,America_North,
-119.02,36.63,44,1.96,Hk,-,EARS,N,America_North,
-98.93,36.63,45,1.91,Hk,-,EARS,N,America_North,
-97.67,36.63,31,2.1,Hk,-,EARS,N,America_North,
-97.63,36.63,43,1.79,Hk,-,EARS,N,America_North,
-109.33,36.64,34,2.04,Hk,-,EARS,N,America_North,
-97.2,36.65,42,1.81,Hk,-,EARS,N,America_North,
-115.96,36.66,38,1.75,Hk,-,EARS,N,America_North,
-97.2,36.66,41,1.82,Hk,-,EARS,N,America_North,
-89.75,36.66,41,1.84,Hk,-,EARS,N,America_North,
-119.02,36.68,46,1.91,Hk,-,EARS,N,America_North,
-97.9,36.68,44,1.76,Hk,-,EARS,N,America_North,
-116.18,36.69,34,1.84,Hk,-,EARS,N,America_North,
-116.15,36.69,34,1.88,Hk,-,EARS,N,America_North,
-119.32,36.7,43,1.69,Hk,-,EARS,N,America_North,
-116.1,36.7,36,1.83,Hk,-,EARS,N,America_North,
-98.71,36.71,36,1.6,Hk,-,EARS,N,America_North,
-116.98,36.72,31,2.02,Hk,-,EARS,N,America_North,
-89.47,36.72,28,1.75,Hk,-,EARS,N,America_North,
-117.86,36.73,29,1.74,Hk,-,EARS,N,America_North,
-115.99,36.73,38,1.81,Hk,-,EARS,N,America_North,
-114.71,36.73,32,1.74,Hk,-,EARS,N,America_North,
-96.53,36.73,44,1.78,Hk,-,EARS,N,America_North,
-97.56,36.75,42,1.82,Hk,-,EARS,N,America_North,
-121.45,36.76,28,1.6,Hk,-,EARS,N,America_North,
-116.11,36.76,29,1.97,Hk,-,EARS,N,America_North,
-109.54,36.76,32,1.65,Hk,-,EARS,N,America_North,
-97.22,36.76,43,1.8,Hk,-,EARS,N,America_North,
-97.21,36.76,66,1.71,Hk,-,EARS,N,America_North,
-121.45,36.77,46,1.88,Hk,-,EARS,N,America_North,
-118.33,36.78,30,2,Hk,-,EARS,N,America_North,
-90.43,36.78,44,1.79,Hk,-,EARS,N,America_North,
-116.63,36.79,47,1.6,Hk,-,EARS,N,America_North,
-97.95,36.79,66,1.88,Hk,-,EARS,N,America_North,
-97.95,36.79,44,1.71,Hk,-,EARS,N,America_North,
-118.58,36.8,37,1.68,Hk,-,EARS,N,America_North,
-104.86,36.8,42,1.79,Hk,-,EARS,N,America_North,
-98.21,36.8,38,1.89,Hk,-,EARS,N,America_North,
-105.3,36.81,46,1.76,Hk,-,EARS,N,America_North,
-119.51,36.82,44,1.6,Hk,-,EARS,N,America_North,
-109.02,36.83,42,2.1,Hk,-,EARS,N,America_North,
-105.04,36.84,46,1.8,Hk,-,EARS,N,America_North,
-84.51,36.84,58,1.79,Hk,-,EARS,N,America_North,
-105.41,36.85,47,1.72,Hk,-,EARS,N,America_North,
-98.79,36.87,44,1.84,Hk,-,EARS,N,America_North,
-85.25,36.87,48,1.85,Hk,-,EARS,N,America_North,
-84.94,36.87,45,1.92,Hk,-,EARS,N,America_North,
-84.8,36.87,43,2,Hk,-,EARS,N,America_North,
-105.4,36.88,46,1.73,Hk,-,EARS,N,America_North,
-86.01,36.88,34,1.6,Hk,-,EARS,N,America_North,
-109.69,36.89,50,1.77,Hk,-,EARS,N,America_North,
-86.29,36.9,48,2.04,Hk,-,EARS,N,America_North,
-85.74,36.9,43,1.98,Hk,-,EARS,N,America_North,
-119.04,36.91,29,1.72,Hk,-,EARS,N,America_North,
-119.04,36.91,32,1.68,Hk,-,EARS,N,America_North,
-86.82,36.91,56,1.74,Hk,-,EARS,N,America_North,
-85.49,36.91,59,1.61,Hk,-,EARS,N,America_North,
-97.85,36.92,42,1.81,Hk,-,EARS,N,America_North,
-96.51,36.92,42,1.85,Hk,-,EARS,N,America_North,
-96.51,36.92,42,1.88,Hk,-,EARS,N,America_North,
-84.25,36.92,50,1.83,Hk,-,EARS,N,America_North,
-99.27,36.93,46,1.79,Hk,-,EARS,N,America_North,
-97.21,36.93,44,1.77,Hk,-,EARS,N,America_North,
-118.11,36.94,36,1.75,Hk,-,EARS,N,America_North,
-86.58,36.94,62,1.6,Hk,-,EARS,N,America_North,
-116.25,36.95,35,1.92,Hk,-,EARS,N,America_North,
-99.87,36.95,40,1.87,Hk,-,EARS,N,America_North,
-78.53,36.95,32,1.7,Hk,-,EARS,N,America_North,
-104.82,36.96,41,1.88,Hk,-,EARS,N,America_North,
-97.96,36.96,41,1.8,Hk,-,EARS,N,America_North,
-118.63,36.97,45,1.77,Hk,-,EARS,N,America_North,
-83.95,36.97,46,1.82,Hk,-,EARS,N,America_North,
-77.55,36.97,34,1.73,Hk,-,EARS,N,America_North,
-77.55,36.97,34,1.74,Hk,-,EARS,N,America_North,
-111.51,36.98,50,2.01,Hk,-,EARS,N,America_North,
-109.86,36.98,50,1.6,Hk,-,EARS,N,America_North,
-82.54,36.98,44,1.8,Hk,-,EARS,N,America_North,
-107.53,36.99,45,1.93,Hk,-,EARS,N,America_North,
-105.06,36.99,45,1.82,Hk,-,EARS,N,America_North,
-87.11,36.99,47,1.89,Hk,-,EARS,N,America_North,
-87.11,36.99,47,1.88,Hk,-,EARS,N,America_North,
-117.37,37,36,1.98,Hk,-,EARS,N,America_North,
-110.8,37,45,1.65,Hk,-,EARS,N,America_North,
-79.25,37,44,1.7,Hk,-,EARS,N,America_North,
-79.25,37,51,1.6,Hk,-,EARS,N,America_North,
-119.71,37.01,25,1.74,Hk,-,EARS,N,America_North,
-119.36,37.01,38,1.99,Hk,-,EARS,N,America_North,
-113.24,37.01,46,1.82,Hk,-,EARS,N,America_North,
-106.9,37.01,39,2,Hk,-,EARS,N,America_North,
-97.48,37.01,42,1.81,Hk,-,EARS,N,America_North,
-97.48,37.01,39,2.07,Hk,-,EARS,N,America_North,
-113.91,37.02,38,1.79,Hk,-,EARS,N,America_North,
-112.82,37.02,48,1.84,Hk,-,EARS,N,America_North,
-112.82,37.02,34,2.1,Hk,-,EARS,N,America_North,
-112.38,37.02,29,1.74,Hk,-,EARS,N,America_North,
-97.19,37.02,43,1.8,Hk,-,EARS,N,America_North,
-93.38,37.02,48,1.77,Hk,-,EARS,N,America_North,
-88.65,37.02,45,1.68,Hk,-,EARS,N,America_North,
-88.64,37.02,30,1.81,Hk,-,EARS,N,America_North,
-84.84,37.02,41,1.73,Hk,-,EARS,N,America_North,
-84.84,37.02,42,1.66,Hk,-,EARS,N,America_North,
-91.09,37.03,32,2.1,Hk,-,EARS,N,America_North,
-91.09,37.03,42,1.8,Hk,-,EARS,N,America_North,
-80.03,37.03,50,1.76,Hk,-,EARS,N,America_North,
-106.04,37.04,46,1.83,Hk,-,EARS,N,America_North,
-94.29,37.04,44,1.79,Hk,-,EARS,N,America_North,
-91.76,37.04,46,1.73,Hk,-,EARS,N,America_North,
-87.89,37.04,38,1.98,Hk,-,EARS,N,America_North,
-118.23,37.05,36,1.78,Hk,-,EARS,N,America_North,
-100.53,37.05,46,1.75,Hk,-,EARS,N,America_North,
-85.05,37.05,47,1.85,Hk,-,EARS,N,America_North,
-84.58,37.05,41,2.1,Hk,-,EARS,N,America_North,
-113.08,37.06,46,1.83,Hk,-,EARS,N,America_North,
-105.38,37.06,44,1.83,Hk,-,EARS,N,America_North,
-102.72,37.06,45,1.81,Hk,-,EARS,N,America_North,
-95.88,37.06,43,1.78,Hk,-,EARS,N,America_North,
-81.58,37.06,44,1.81,Hk,-,EARS,N,America_North,
-110,37.07,33,1.6,Hk,-,EARS,N,America_North,
-105.45,37.07,48,1.67,Hk,-,EARS,N,America_North,
-105.45,37.07,35,1.89,Hk,-,EARS,N,America_North,
-105.05,37.07,47,1.72,Hk,-,EARS,N,America_North,
-104.25,37.08,33,2.01,Hk,-,EARS,N,America_North,
-98.24,37.08,45,1.81,Hk,-,EARS,N,America_North,
-90.29,37.08,43,1.74,Hk,-,EARS,N,America_North,
-85.36,37.08,45,1.81,Hk,-,EARS,N,America_North,
-89.59,37.09,32,2.05,Hk,-,EARS,N,America_North,
-87.34,37.09,41,2.04,Hk,-,EARS,N,America_North,
-99.68,37.1,43,1.83,Hk,-,EARS,N,America_North,
-86.59,37.1,50,1.8,Hk,-,EARS,N,America_North,
-97.87,37.11,42,1.82,Hk,-,EARS,N,America_North,
-86.92,37.11,40,1.66,Hk,-,EARS,N,America_North,
-86.39,37.11,46,1.92,Hk,-,EARS,N,America_North,
-85.53,37.11,44,1.92,Hk,-,EARS,N,America_North,
-82.99,37.11,41,1.89,Hk,-,EARS,N,America_North,
-119.21,37.12,44,1.98,Hk,-,EARS,N,America_North,
-104.78,37.12,44,1.76,Hk,-,EARS,N,America_North,
-102.11,37.12,45,1.76,Hk,-,EARS,N,America_North,
-98.1,37.12,36,2.01,Hk,-,EARS,N,America_North,
-94.92,37.12,44,1.8,Hk,-,EARS,N,America_North,
-85.75,37.12,25,1.6,Hk,-,EARS,N,America_North,
-80.78,37.12,47,1.78,Hk,-,EARS,N,America_North,
-122.17,37.13,26,1.78,Hk,-,EARS,N,America_North,
-118.43,37.13,39,1.71,Hk,-,EARS,N,America_North,
-104.69,37.13,54,1.61,Hk,-,EARS,N,America_North,
-118.77,37.14,50,1.73,Hk,-,EARS,N,America_North,
-109.87,37.14,45,1.85,Hk,-,EARS,N,America_North,
-104.41,37.14,42,1.78,Hk,-,EARS,N,America_North,
-97.62,37.14,32,1.71,Hk,-,EARS,N,America_North,
-86.02,37.14,50,1.77,Hk,-,EARS,N,America_North,
-76.73,37.14,38,1.6,Hk,-,EARS,N,America_North,
-76.73,37.14,38,1.6,Hk,-,EARS,N,America_North,
-121.81,37.15,25,1.61,Hk,-,EARS,N,America_North,
-105.45,37.15,28,2.1,Hk,-,EARS,N,America_North,
-97.76,37.15,40,1.8,Hk,-,EARS,N,America_North,
-97.76,37.15,42,1.84,Hk,-,EARS,N,America_North,
-92.52,37.15,50,1.69,Hk,-,EARS,N,America_North,
-92.27,37.15,50,1.78,Hk,-,EARS,N,America_North,
-101.29,37.16,45,1.82,Hk,-,EARS,N,America_North,
-103.59,37.17,42,1.75,Hk,-,EARS,N,America_North,
-98.92,37.18,44,1.82,Hk,-,EARS,N,America_North,
-84.21,37.18,49,1.83,Hk,-,EARS,N,America_North,
-84.51,37.19,52,1.91,Hk,-,EARS,N,America_North,
-108.5,37.21,48,1.8,Hk,-,EARS,N,America_North,
-97.91,37.21,57,1.6,Hk,-,EARS,N,America_North,
-80.42,37.21,46,1.81,Hk,-,EARS,N,America_North,
-84.75,37.22,40,1.91,Hk,-,EARS,N,America_North,
-117.65,37.23,38,1.7,Hk,-,EARS,N,America_North,
-110.13,37.23,26,1.82,Hk,-,EARS,N,America_North,
-98.06,37.23,42,1.85,Hk,-,EARS,N,America_North,
-97.97,37.23,42,1.81,Hk,-,EARS,N,America_North,
-97.97,37.23,44,1.76,Hk,-,EARS,N,America_North,
-97.55,37.23,27,1.6,Hk,-,EARS,N,America_North,
-115.22,37.24,33,1.73,Hk,-,EARS,N,America_North,
-113.35,37.24,31,1.89,Hk,-,EARS,N,America_North,
-105.46,37.24,31,1.62,Hk,-,EARS,N,America_North,
-88.29,37.24,25,1.6,Hk,-,EARS,N,America_North,
-120.06,37.25,37,2.04,Hk,-,EARS,N,America_North,
-119.58,37.25,37,2.04,Hk,-,EARS,N,America_North,
-97.86,37.25,42,1.83,Hk,-,EARS,N,America_North,
